Roster,Time_Out,Origin,Route,Destination,Time_In,Days,Operating Hrs,Layover Hrs,Meal Hrs,Dead Hrs,Operating Dist,Dead Dist,Fuel Cost,Bus Hrs Cost,Tot Roster Cost,Tot Closure Cost,Type
,,,,Roster_Total,13:00,,9:19,2:32,0:00,1:09,400.636,91.828,$364.42 ,"$1,690 ","$2,054.42 ","$38,673.66 ",coach
,,,,,,,,,,,,,,,,,
14,8:28,Helensberg,Dead,Dapto Station,9:03,Sat 01-Jul-2023,,0:05,,0:35,0,45.965,,,,,
14,9:08,Dapto Station,43SC,Central Station,11:23,Sat 01-Jul-2023,2:15,0:00,,,100.656,0,,,,,
14,12:13,Central Station,43SC,Dapto Station,14:48,Sat 01-Jul-2023,2:35,0:50,,,99.662,0,,,,,
14,15:19,Dapto Station,43SC,Central Station,17:39,Sat 01-Jul-2023,2:20,0:31,,,100.656,0,,,,,
14,17:44,Central Station,Dead,Helensberg,18:43,Sat 01-Jul-2023,,0:05,,0:59,0,57.819,,,,,
,,,,Roster_Total,10:15,,7:10,1:31,0:00,1:34,300.974,103.784,$299.52 ,"$1,332.50 ","$1,632.02 ","$40,305.68 ",coach
,,,,,,,,,,,,,,,,,
15,8:46,Helensberg,Dead,Dapto Station,9:21,Sat 01-Jul-2023,,0:05,,0:35,0,45.965,,,,,
15,9:26,Dapto Station,43SC,Central Station,11:41,Sat 01-Jul-2023,2:15,0:00,,,100.656,0,,,,,
15,13:29,Central Station,43SC,Dapto Station,16:03,Sat 01-Jul-2023,2:34,1:48,,,99.662,0,,,,,
15,16:32,Dapto Station,43SC,Central Station,18:47,Sat 01-Jul-2023,2:15,0:29,,,100.656,0,,,,,
15,19:57,Central Station,43SC,Dapto Station,21:59,Sat 01-Jul-2023,2:02,1:10,,,99.662,0,,,,,
15,22:04,Dapto Station,Dead,Helensberg,22:38,Sat 01-Jul-2023,,0:05,,0:34,0,45.863,,,,,
,,,,Roster_Total,13:52,,9:06,3:37,0:00,1:09,400.636,91.828,$364.42 ,"$1,802.67 ","$2,167.09 ","$42,472.77 ",coach
,,,,,,,,,,,,,,,,,
16,10:20,Helensberg,Dead,Dapto Station,10:55,Sat 01-Jul-2023,,0:05,,0:35,0,45.965,,,,,
16,11:00,Dapto Station,43SC,Central Station,13:20,Sat 01-Jul-2023,2:20,0:00,,,100.656,0,,,,,
16,14:05,Central Station,43SC,Dapto Station,16:36,Sat 01-Jul-2023,2:31,0:45,,,99.662,0,,,,,
16,17:06,Dapto Station,43SC,Central Station,19:19,Sat 01-Jul-2023,2:13,0:30,,,100.656,0,,,,,
16,21:07,Central Station,43SC,Dapto Station,23:05,Sat 01-Jul-2023,1:58,1:48,,,99.662,0,,,,,
16,23:10,Dapto Station,Dead,Helensberg,23:44,Sat 01-Jul-2023,,0:05,,0:34,0,45.863,,,,,
,,,,Roster_Total,13:24,,9:02,3:13,0:00,1:09,400.636,91.828,$364.42 ,"$1,742 ","$2,106.42 ","$44,579.19 ",coach
,,,,,,,,,,,,,,,,,
17,10:38,Helensberg,Dead,Dapto Station,11:13,Sat 01-Jul-2023,,0:05,,0:35,0,45.965,,,,,
17,11:18,Dapto Station,43SC,Central Station,13:38,Sat 01-Jul-2023,2:20,0:00,,,100.656,0,,,,,
17,15:24,Central Station,43SC,Dapto Station,17:52,Sat 01-Jul-2023,2:28,1:46,,,99.662,0,,,,,
17,18:13,Dapto Station,43SC,Central Station,20:21,Sat 01-Jul-2023,2:08,0:21,,,100.656,0,,,,,
17,21:58,Central Station,43SC,Dapto Station,23:56,Sat 01-Jul-2023,1:58,1:37,,,99.662,0,,,,,
17,24:01:00,Dapto Station,Dead,Helensberg,24:35:00,Sat 01-Jul-2023,,0:05,,0:34,0,45.863,,,,,
,,,,Roster_Total,13:57,,8:54,3:54,0:00,1:09,400.636,91.828,$364.42 ,"$1,813.50 ","$2,177.92 ","$46,757.12 ",coach
,,,,,,,,,,,,,,,,,
18,13:04,Helensberg,Dead,Dapto Station,13:39,Sat 01-Jul-2023,,0:05,,0:35,0,45.965,,,,,
18,13:44,Dapto Station,43SC,Central Station,16:04,Sat 01-Jul-2023,2:20,0:00,,,100.656,0,,,,,
18,17:40,Central Station,43SC,Dapto Station,19:55,Sat 01-Jul-2023,2:15,1:36,,,99.662,0,,,,,
18,20:00,Dapto Station,Dead,Helensberg,20:34,Sat 01-Jul-2023,,0:05,,0:34,0,45.863,,,,,
,,,,Roster_Total,7:30,,4:35,1:46,0:00,1:09,200.318,91.828,$216.19 ,$975 ,"$1,191.19 ","$47,948.30 ",coach
,,,,,,,,,,,,,,,,,
19,5:33,Helensberg,Dead,Dapto Station,6:08,Sat 01-Jul-2023,,0:05,,0:35,0,45.965,,,,,
19,6:13,Dapto Station,43SC,Central Station,8:04,Sat 01-Jul-2023,1:51,0:00,,,100.656,0,,,,,
19,9:03,Central Station,43SC,Dapto Station,11:30,Sat 01-Jul-2023,2:27,0:59,,,99.662,0,,,,,
19,11:31,Meal Break Start,MB,Meal Break End,12:01,Sat 01-Jul-2023,0:00,0:01,0:30,,0,0,,,,,
19,12:17,Dapto Station,43SC,Central Station,14:37,Sat 01-Jul-2023,2:20,0:16,,,100.656,0,,,,,
19,15:01,Central Station,43SC,Dapto Station,17:29,Sat 01-Jul-2023,2:28,0:24,,,99.662,0,,,,,
19,17:34,Dapto Station,Dead,Helensberg,18:08,Sat 01-Jul-2023,,0:05,,0:34,0,45.863,,,,,
,,,,Roster_Total,12:35,,9:06,1:50,0:30,1:09,400.636,91.828,$364.42 ,"$1,570.83 ","$1,935.26 ","$49,883.56 ",coach
,,,,,,,,,,,,,,,,,
20,3:45,Helensberg,Dead,Thirroul Station,4:04,Sat 01-Jul-2023,,0:05,,0:19,0,21.305,,,,,
20,4:09,Thirroul Station,36SC,Central Station,5:25,Sat 01-Jul-2023,1:16,0:00,,,68.186,0,,,,,
20,6:14,Central Station,36SC,Thirroul Station,7:44,Sat 01-Jul-2023,1:30,0:49,,,66.831,0,,,,,
20,7:45,Meal Break Start,MB,Meal Break End,8:15,Sat 01-Jul-2023,0:00,0:01,0:30,,0,0,,,,,
